Name,Team,TRV_z
Aaron Judge,NYY,3.2904417874462566
Bobby Witt Jr.,KCR,3.2888960359855184
Shohei Ohtani,LAD,3.0815325171858166
Juan Soto,NYY,2.1499408486803135
Gunnar Henderson,BAL,2.6497366174066785
Francisco Lindor,NYM,2.69984514476594
Jarren Duran,BOS,2.7102408757923353
Jose Ramirez,CLE,2.495192610510246
Elly De La Cruz,CIN,2.5144906621544796
Ketel Marte,ARI,2.2098721667103107
Vladimir Guerrero Jr.,TOR,0.09777502752114417
William Contreras,MIL,0.7492464519940601
Matt Chapman,SFG,2.2014563927182156
Cal Raleigh,SEA,0.9757491153557215
Yordan Alvarez,HOU,0.8199334528999546
Jackson Merrill,SDP,1.5043412521830313
Bryce Harper,PHI,0.8165549934575854
Brent Rooker,OAK,0.9245098313118685
Willy Adames,MIL,1.119351265792422
Marcell Ozuna,ATL,-0.16498277400194866
Corey Seager,TEX,1.1201174842377666
Mookie Betts,LAD,2.1636252182521227
Carlos Correa,MIN,1.7744978449912834
Jurickson Profar,SDP,0.8187740515107379
Dansby Swanson,CHC,1.4999781029430528
Patrick Bailey,SFG,1.8180779968446679
Kyle Tucker,HOU,2.936006470465445
Alex Bregman,HOU,1.3842858660733306
Marcus Semien,TEX,1.4818581476438784
Rafael Devers,BOS,0.07909621488384057
Freddie Freeman,LAD,0.2867712226103365
Steven Kwan,CLE,1.912158490679935
Riley Greene,DET,1.0490796636687105
Colton Cowser,BAL,1.3835196837569286
Jazz Chisholm Jr.,- - -,1.200672948024819
Corbin Carroll,ARI,2.5373084355103535
Nico Hoerner,CHC,1.3802242330997059
Trea Turner,PHI,0.8535883328854496
Jackson Chourio,MIL,1.147381307522392
Jose Altuve,HOU,-0.2736923805250438
Julio Rodriguez,SEA,0.02237433034051978
Eugenio Suarez,ARI,0.8704052479945181
Byron Buxton,MIN,1.1011145372055255
Brenton Doyle,COL,1.690933229690917
Ezequiel Tovar,COL,-0.14831677048442107
Ian Happ,CHC,0.6978022103723421
Masyn Winn,STL,1.019859318989287
Seiya Suzuki,CHC,0.8857980155184961
Teoscar Hernandez,LAD,-0.009064815813637425
Manny Machado,SDP,0.4845435699265814
Alec Bohm,PHI,0.7539734543658269
Oneil Cruz,PIT,0.9494520205745106
Zach Neto,LAA,0.6143089584512068
Kyle Schwarber,PHI,0.19840110059524446
Isaac Paredes,- - -,0.6076237681755082
Austin Wells,NYY,0.9037651336792235
Anthony Volpe,NYY,1.156290319554082
Anthony Santander,BAL,0.02852174875995762
Lawrence Butler,OAK,1.3509092814498556
Daulton Varsho,TOR,1.0149892021079743
Fernando Tatis Jr.,SDP,0.9623621083978963
Salvador Perez,KCR,-0.9863805827444913
JJ Bleday,OAK,0.36218578070408863
Brendan Donovan,STL,0.7890889248776417
Victor Robles,- - -,1.483414748181836
Luis Garcia Jr.,WSN,0.4481361324585052
Joey Ortiz,MIL,1.3915070198980968
Nolan Arenado,STL,0.3064233176902638
Willi Castro,MIN,0.02031743241431844
Christian Yelich,MIL,1.8441154779261177
Joc Pederson,ARI,0.5503303865171157
Tyler Fitzgerald,SFG,1.1974739968947334
Christian Walker,ARI,0.6698860177907489
Tyler Stephenson,CIN,0.9668013015076032
Wilyer Abreu,BOS,0.7891826247803402
Yainer Diaz,HOU,-0.7074014248685252
Jake McCarthy,ARI,1.1944437579438014
Carlos Santana,MIN,0.5731759884252471
Mark Vientos,NYM,-0.038450588817572635
Wyatt Langford,TEX,1.310347426860643
Jordan Westburg,BAL,0.6280954214456277
Nathaniel Lowe,TEX,0.49181277329504225
Jonathan India,CIN,1.1621091796387035
Miguel Rojas,LAD,1.079378571826359
Josh Smith,TEX,0.2330888194157404
Adley Rutschman,BAL,0.14650966237337917
Jeremy Pena,HOU,0.35659118738949847
Alejandro Kirk,TOR,0.7888735149441891
Andres Gimenez,CLE,0.02382545326233827
Will Smith,LAD,0.7548635141275446
Taylor Ward,LAA,0.599403511308705
Brandon Nimmo,NYM,0.9734545031973912
Pete Crow-Armstrong,CHC,0.03627639039413877
Willson Contreras,STL,0.2710389654295655
Matt Olson,ATL,-0.6645647547079852
Matt Vierling,DET,1.332929259544005
Ha-seong Kim,SDP,1.5771142429707428
Jacob Young,WSN,1.06674802206907
Tyler O'Neill,BOS,0.5280635895945975
Jose Iglesias,NYM,0.02104710821409055
Gabriel Moreno,ARI,1.0793904105298355
Otto Lopez,MIA,0.7449897202048452
Brice Turang,MIL,1.3382701165655053
Kerry Carpenter,DET,1.0813316831643076
Austin Riley,ATL,0.6013762390542272
Brandon Marsh,PHI,1.2008049874125388
Dylan Moore,SEA,1.6135459464696067
Max Muncy,LAD,1.3096648673126015
Heliot Ramos,SFG,0.31191160183975863
Luke Raley,SEA,0.06749341247481017
Brandon Lowe,TBR,0.24436522142030787
Josh Naylor,CLE,-0.41368330875047904
Michael Busch,CHC,0.3100821185190483
Cedric Mullins,BAL,0.9853692291720997
Xavier Edwards,MIA,1.3158803966625967
Cody Bellinger,CHC,0.00558948182106106
Parker Meadows,DET,1.338720611095379
Ernie Clement,TOR,-0.14983230570710174
Jake Rogers,DET,0.3682260307495228
Matt Wallner,MIN,0.6763942751364863
Ivan Herrera,STL,1.078443482594771
Bryan Reynolds,PIT,-0.5165287221793864
Pete Alonso,NYM,-0.21357457328446053
Lourdes Gurriel Jr.,ARI,0.046202457018192304
Jake Cronenworth,SDP,0.6632405975298915
Logan O'Hoppe,LAA,-0.8232083262877157
Isiah Kiner-Falefa,- - -,0.751590919564195
J.T. Realmuto,PHI,0.348463675036096
Shea Langeliers,OAK,-0.10133117794879105
Michael Harris II,ATL,-0.6075283417783256
Geraldo Perdomo,ARI,1.5911588875799216
Yasmani Grandal,PIT,0.8360841143324512
Xander Bogaerts,SDP,0.9718860532138703
Jake Meyers,HOU,0.6997144290357405
Spencer Horwitz,TOR,0.15053130823124566
Yandy Diaz,TBR,0.05131214288228161
CJ Abrams,WSN,-0.47069122345589715
Victor Caratini,HOU,0.2313396123736584
Edmundo Sosa,PHI,-0.20929348312816115
Ryan McMahon,COL,-0.22190581272238746
Randy Arozarena,- - -,-0.6467646547970318
Francisco Alvarez,NYM,0.07708186733086576
Freddy Fermin,KCR,0.031504558893066775
Josh Rojas,SEA,0.36287486177897005
Jose Caballero,TBR,0.031049212181906517
Jose Siri,TBR,-0.618493457644307
Garrett Mitchell,MIL,1.1813573529712518
Travis d'Arnaud,ATL,-0.039195633325184345
Colt Keith,DET,0.15876084612023966
Carson Kelly,- - -,0.5227579947156721
Bryson Stott,PHI,0.6582381817800782
David Fry,CLE,0.05978693990284887
Ryan O'Hearn,BAL,0.4829109551413611
Lars Nootbaar,STL,1.4050487057251115
Gleyber Torres,NYY,-0.6593944354620781
Paul DeJong,- - -,-0.8322337044760177
David Hamilton,BOS,1.4181005861040583
Mike Yastrzemski,SFG,0.7155539599932911
Ryan Jeffers,MIN,-0.021605641328629938
Blake Perkins,MIL,0.31191210109927775
Jose Trevino,NYY,0.6282583371437455
J.P. Crawford,SEA,0.9720279825974041
Bo Naylor,CLE,-0.005438814757203655
Randal Grichuk,ARI,1.3771387106886264
Trevor Larnach,MIN,0.40781168659006684
Vinnie Pasquantino,KCR,0.24275538277295172
Michael Massey,KCR,0.4713997311507715
Kyle Higashioka,SDP,0.8545882668285114
Ryan Mountcastle,BAL,-0.754183275722711
Jesus Sanchez,MIA,-0.450643089750038
Gavin Lux,LAD,0.356400013856505
Sal Frelick,MIL,0.6925822297736686
Luis Rengifo,LAA,-0.24464811984348797
Jake Burger,MIA,-0.6552531891865134
Spencer Steer,CIN,0.8427344752989148
Lane Thomas,- - -,0.7707720721825253
Kevin Newman,ARI,0.36010345185917436
Kyle Isbel,KCR,0.9522622854999949
Zack Gelof,OAK,-0.13049150414151967
Ben Rortvedt,TBR,-0.3200775522044205
Joey Bart,PIT,0.47805580085260935
Jesse Winker,- - -,0.0021989930874142007
LaMonte Wade Jr.,SFG,0.4803518453177244
Michael Conforto,SFG,0.11724840110294021
Andy Pages,LAD,-0.007181056899343418
Nick Gonzales,PIT,-0.20718010972200826
Ozzie Albies,ATL,-0.2768779465866198
Jeff McNeil,NYM,-0.21778285110780554
Richie Palacios,TBR,0.4249032299426615
Harrison Bader,NYM,-0.1361519161112508
Max Schuemann,OAK,0.3620351649885903
Rob Refsnyder,BOS,0.30490527781714727
James Wood,WSN,0.6601609789642423
Royce Lewis,MIN,0.1214274142903482
Justin Turner,- - -,-0.708564885737157
Tyrone Taylor,NYM,0.12030100744773647
George Springer,TOR,0.2939636147201838
Mauricio Dubon,HOU,-1.3140879100923548
Johan Rojas,PHI,0.05707261601082947
Jorge Soler,- - -,-0.6450318493827729
Jose Miranda,MIN,-0.7729088517239648
Luis Arraez,- - -,-0.8778514870712042
Paul Goldschmidt,STL,-0.6737683966218706
Josh Lowe,TBR,-0.26848714563738035
Wenceel Perez,DET,-0.01248488112916891
Leody Taveras,TEX,-0.037320361529373715
Brayan Rocchio,CLE,-0.4209472369525012
Zach McKinstry,DET,0.7009084136898125
Maikel Garcia,KCR,1.6022799954927651
Michael Siani,STL,-0.47976536062246106
Jonah Bride,MIA,0.6505204869652106
Connor Wong,BOS,-0.6691330776936043
Mike Tauchman,CHC,0.24584110281397098
Ronald Acuna Jr.,ATL,0.30314652820572713
Mark Canha,- - -,-0.25541504661538794
Max Kepler,MIN,-0.302247021178877
Pavin Smith,ARI,2.028495981049224
Jacob Stallings,COL,-0.11744313021374818
Ramon Laureano,- - -,-0.3541871760515527
Ramon Urias,BAL,-0.1798101981772521
Jake Fraley,CIN,-0.5486449945532753
Tommy Edman,LAD,0.6422971841348756
Ceddanne Rafaela,BOS,-1.6880750655058856
Oswaldo Cabrera,NYY,0.08384057340472448
Jonny DeLuca,TBR,-0.6643218910173159
Nicky Lopez,CHW,-0.40075436849873225
Giancarlo Stanton,NYY,-0.7232132004125987
Masataka Yoshida,BOS,0.0007126864704481946
Donovan Solano,SDP,-0.5319113126294905
Brendan Rodgers,COL,-0.28096463104070124
Jason Heyward,- - -,0.5141300930573623
Jorge Mateo,BAL,0.3891978872811646
Andy Ibanez,DET,-0.6513336834545763
Sean Murphy,ATL,-0.08652449424041833
Orlando Arcia,ATL,-0.16147338491999363
Christian Vazquez,MIN,-0.7087117619935108
Sam Hilliard,COL,0.016190030262109877
Junior Caminero,TBR,-0.40685853794699095
Nolan Schanuel,LAA,-0.5407199271195425
Enrique Hernandez,LAD,-0.11094826679852526
Gio Urshela,- - -,-1.0901897058791776
Abraham Toro,OAK,0.10588958853940597
Triston Casas,BOS,-0.22267046241981708
Jhonkensy Noel,CLE,0.1027587541006613
Alec Burleson,STL,-1.287916897214158
J.D. Martinez,NYM,-0.4275874295474324
Starling Marte,NYM,-0.25633198267574914
Kevin Pillar,- - -,-0.27494167494943433
Danny Jansen,- - -,0.44982514061060674
Kyle Farmer,MIN,-0.3614347950145953
Alex Verdugo,NYY,0.027007959964942752
Miguel Amaya,CHC,-0.7089225233039984
Andrew McCutchen,PIT,-0.32955197469147485
Will Brennan,CLE,-0.7390996000301427
Elias Diaz,- - -,-1.1494100747788492
Connor Joe,PIT,0.03589052923861083
Leo Jimenez,TOR,-0.4790795797139321
Jarred Kelenic,ATL,-0.4425636210825728
Trent Grisham,NYY,1.2321999063924838
Pedro Pages,STL,-0.5693819820558127
Luis Robert Jr.,CHW,-0.8045438937235578
Austin Barnes,LAD,0.10190108765033778
Brett Baty,NYM,-0.6584550819117773
Brett Wisely,SFG,-0.17564919169521612
Nick Fortes,MIA,-0.4100483305671979
Garrett Hampson,KCR,-0.15345602804652503
Nick Ahmed,- - -,-1.5423130153446176
Michael Toglia,COL,0.22169712666504843
Juan Yepez,WSN,-0.3711166835948249
David Peralta,SDP,-0.3654458646234979
Nick Castellanos,PHI,-1.8378177935193685
Miguel Andujar,OAK,-0.6551503309366254
Emmanuel Rivera,- - -,-0.46609863057348777
Whit Merrifield,- - -,0.37232194341571145
Davis Schneider,TOR,-0.12545953535193333
Jared Triolo,PIT,-0.3443911832465146
Thairo Estrada,SFG,-0.3228269557172906
Michael A. Taylor,PIT,-0.6076201260296072
Tyler Soderstrom,OAK,0.060055480431807785
Josh Jung,TEX,-0.600958574591323
Gary Sanchez,MIL,-0.3115489991471248
Amed Rosario,- - -,-1.0459406201627732
Daniel Schneemann,CLE,-0.8115043598181866
Nolan Gorman,STL,-0.8687731713109503
Jorge Polanco,SEA,-0.6729328229101689
Tyler Freeman,CLE,-0.11295334090264869
Bo Bichette,TOR,-0.6803815126040417
Garrett Stubbs,PHI,-0.8595902058258339
Kevin Kiermaier,- - -,-1.3305955667360074
Romy Gonzalez,BOS,-0.7551440440968104
Austin Hays,- - -,-0.8301763353513382
TJ Friedl,CIN,0.5324115984566172
Kyle McCann,OAK,-1.2862994423206138
Derek Hill,- - -,-0.6877738845873838
James McCann,BAL,-0.7479721251257127
Stuart Fairchild,CIN,-0.41196364073555036
Jung Hoo Lee,SFG,0.11494966933413368
Reese McGuire,BOS,-0.3738117084255285
Charlie Blackmon,COL,-0.5403544719319101
Connor Norby,- - -,-0.8384561800352583
Rhys Hoskins,MIL,-0.5462574965032104
Dominic Smith,- - -,-0.35968753347058957
Jo Adell,LAA,-0.9021991363117404
Spencer Torkelson,DET,-0.19946941317412273
Dominic Canzone,SEA,-0.8903570102026698
Mickey Moniak,LAA,-1.4293750924802604
Lenyn Sosa,CHW,-1.0860066112101783
Evan Carter,TEX,0.7502230848884027
Cavan Biggio,- - -,0.30481300550693885
Joey Loperfido,- - -,-1.329249439296332
Ezequiel Duran,TEX,-1.4013723329159131
Luis Guillorme,- - -,-0.048608049301898736
Ke'Bryan Hayes,PIT,-0.09903389382474244
Kyle Manzardo,CLE,-0.0018479131150622489
Willie Calhoun,LAA,0.11700486854996449
Jake Bauers,MIL,0.31590799951564985
Jose Tena,- - -,-0.3792279719617875
Santiago Espinal,CIN,0.03870405510223066
Angel Martinez,CLE,-0.6499219250059993
Edouard Julien,MIN,-0.07615783208867237
Ildemaro Vargas,WSN,-0.3165817178306315
Jackson Holliday,BAL,-0.6335308774074321
Cristian Pache,- - -,-1.2421497417396015
Josh Bell,- - -,-1.3333884261994426
Jon Singleton,HOU,-0.8509130158676791
Hunter Renfroe,KCR,-0.7354357227942655
Tommy Pham,- - -,-0.4039901280504521
Blaze Alexander,ARI,-0.7569042645048463
Jonah Heim,TEX,-0.9457261019308255
Austin Slater,- - -,-1.103068734016362
Anthony Rendon,LAA,0.40746745383804117
Alex Jackson,TBR,-2.0319362789487627
Andrew Vaughn,CHW,-1.0372109963536948
Matt Carpenter,STL,-0.2769076469619832
Adolis Garcia,TEX,-1.5213445932153669
Austin Martin,MIN,-0.0017751934369186803
Seth Brown,OAK,-0.7308998088627039
Anthony Rizzo,NYY,-0.9201849426300652
Patrick Wisdom,CHC,0.3057556665454065
Manuel Margot,MIN,-0.5851330703908285
D.J. Stewart,NYM,0.050597362791964196
Matt Thaiss,LAA,-1.3474710965564436
Joey Gallo,WSN,-0.7684398627759177
Gabriel Arias,CLE,-2.240754690047186
Chas McCormick,HOU,-1.6778516653831084
Taylor Walls,TBR,-0.4473490829012982
Nick Loftin,KCR,-0.020941367247179446
Jeimer Candelario,CIN,-1.082008827251271
Jake Cave,COL,-1.2151231014221315
Andrew Benintendi,CHW,-0.6378004328859515
MJ Melendez,KCR,-1.115464841121922
Alex Kirilloff,MIN,-0.28978261883752526
Vidal Brujan,MIA,-1.0952330627569387
Keibert Ruiz,WSN,-0.8009098098140249
Ben Rice,NYY,0.5115843627651069
Addison Barger,TOR,-0.6263293644725995
Brooks Lee,MIN,-0.9089088648398901
Tyler Wade,SDP,-0.5313167956822737
James Outman,LAD,-1.2382477430576917
Travis Jankowski,TEX,-0.39774920779201994
J.D. Davis,- - -,-1.2422038514339735
Mitch Garver,SEA,-0.5009162102711816
Tyler Nevin,OAK,-0.47335837613560744
Korey Lee,CHW,-1.549990544025917
Daz Cameron,OAK,-0.33108380572323903
Victor Scott II,STL,-0.7777170770590888
Rowdy Tellez,PIT,-0.3783572189080043
Justyn-Henry Malloy,DET,-0.6031427631042011
Luis Campusano,SDP,-0.8762469519674659
Nick Martini,CIN,-0.6237901989452501
Nelson Velazquez,KCR,-0.5399151663631273
Nick Senzel,- - -,-0.526601226024105
Chris Taylor,LAD,-1.225531520295734
DJ LeMahieu,NYY,-0.6589869881877928
Will Benson,CIN,-0.9332486508224112
Enmanuel Valdez,BOS,-0.2960977564355644
Mitch Haniger,SEA,-1.0808065421387192
Jordan Walker,STL,-0.7046383309504873
Robbie Grossman,- - -,-0.25645492180710394
Harold Ramirez,- - -,-2.399179879015451
Kyle Stowers,- - -,-1.6595686231740927
Corey Julks,CHW,-1.1729270132847094
Adam Frazier,KCR,-0.5618892051012757
Nick Gordon,MIA,-2.197040145090855
Wilmer Flores,SFG,-0.3088624593414255
Luke Maile,CIN,-0.9514124424811129
Javier Baez,DET,-1.5920579666112404
Nolan Jones,COL,-0.7148889991727684
Kris Bryant,COL,-1.9091641804894937
Luis Matos,SFG,-1.046512883690181
Dominic Fletcher,CHW,-1.433434842148588
Trey Lipscomb,WSN,-1.6432646857205
Ty France,- - -,-1.3165511922913518
Gavin Sheets,CHW,-1.6101980118918635
Eloy Jimenez,- - -,-1.3606638053432931
Edward Olivares,PIT,-0.8652525196729421
Christopher Morel,- - -,-1.713078715371691
Joey Meneses,WSN,-1.17409467382628
Dylan Carlson,- - -,-1.7082178547319318
Jordan Beck,COL,-1.9600882711977285
Miguel Vargas,- - -,-0.735466016920217
Jack Suwinski,PIT,-0.3215901169406337
Adam Duvall,ATL,-0.9792735404326567
Bryan De La Cruz,- - -,-1.918578856899832
Hunter Goodman,COL,-1.3402030332927461
Tim Anderson,MIA,-3.117055534199633
Noelvi Marte,CIN,-1.7913188611058923
Elehuris Montero,COL,-2.1977319719661814
Eddie Rosario,- - -,-1.6910680676877348
Brandon Drury,LAA,-1.8041074493528093
